Frame,Timestamp_seconds,Condition,Confidence,X1,Y1,X2,Y2
27,2.7,Normal,0.887,487,205,602,281
27,2.7,Normal,0.846,484,438,601,514
27,2.7,Normal,0.829,674,439,791,513
27,2.7,Inverted,0.579,676,206,788,283
27,2.7,Displaced,0.316,678,208,789,284
28,2.8,Normal,0.804,676,445,789,516
28,2.8,Normal,0.794,483,212,597,283
28,2.8,Normal,0.509,676,212,789,283
29,2.9,Normal,0.876,487,156,601,230
29,2.9,Normal,0.823,680,391,793,464
29,2.9,Normal,0.822,489,616,600,692
29,2.9,Normal,0.782,677,617,793,691
29,2.9,Fractured,0.721,677,159,793,236
29,2.9,Normal,0.706,487,391,600,463
30,3.0,Normal,0.89,483,618,599,695
30,3.0,Normal,0.851,678,386,790,461
30,3.0,Normal,0.699,674,616,789,692
30,3.0,Normal,0.644,675,147,790,221
30,3.0,Normal,0.601,485,148,600,221
31,3.1,Normal,0.908,482,469,600,545
31,3.1,Normal,0.905,482,235,600,312
31,3.1,Normal,0.851,677,467,787,543
31,3.1,Fractured,0.767,683,234,790,311
31,3.1,Normal,0.652,482,5,598,79
32,3.2,Normal,0.831,680,448,796,523
32,3.2,Normal,0.83,491,447,603,523
32,3.2,Normal,0.381,489,214,604,289
32,3.2,Displaced,0.315,689,215,802,292
33,3.3,Normal,0.856,484,513,600,589
33,3.3,Normal,0.82,484,50,601,123
33,3.3,Normal,0.811,678,281,792,354
33,3.3,Normal,0.767,679,514,792,590
33,3.3,Normal,0.708,483,281,603,355
33,3.3,Fractured,0.454,683,52,791,125
34,3.4,Normal,0.873,684,137,797,213
34,3.4,Normal,0.7,681,610,797,684
34,3.4,Normal,0.696,495,367,609,443
34,3.4,Normal,0.671,494,608,608,684
34,3.4,Normal,0.625,681,368,798,443
34,3.4,Displaced,0.284,491,139,607,213
35,3.5,Normal,0.885,675,424,788,502
35,3.5,Normal,0.86,673,199,791,276
35,3.5,Normal,0.849,484,424,600,501
36,3.6,Normal,0.893,493,551,606,627
36,3.6,Normal,0.882,679,553,796,627
36,3.6,Normal,0.859,682,93,796,169
36,3.6,Normal,0.751,494,93,607,166
36,3.6,Normal,0.396,684,328,796,400
36,3.6,Fractured,0.368,492,330,608,403
36,3.6,Displaced,0.364,682,328,796,403
37,3.7,Normal,0.894,674,171,790,246
37,3.7,Normal,0.836,483,405,600,479
37,3.7,Normal,0.81,676,405,790,480
37,3.7,Normal,0.641,485,639,601,713
37,3.7,Normal,0.558,675,637,791,712
37,3.7,Fractured,0.283,486,172,601,243
38,3.8,Normal,0.883,680,460,797,535
38,3.8,Normal,0.871,683,235,796,312
38,3.8,Normal,0.756,493,232,610,309
38,3.8,Normal,0.629,492,463,602,537
39,3.9,Normal,0.842,482,314,599,389
39,3.9,Normal,0.834,676,315,786,389
39,3.9,Normal,0.795,483,83,600,159
39,3.9,Normal,0.794,480,544,598,618
39,3.9,Normal,0.786,675,83,789,159
40,4.0,Normal,0.789,680,464,798,540
40,4.0,Normal,0.75,684,229,796,306
40,4.0,Normal,0.39,493,227,607,302
41,4.1,Normal,0.87,482,70,601,147
41,4.1,Normal,0.87,482,530,600,606
41,4.1,Normal,0.868,482,307,599,382
41,4.1,Normal,0.852,678,529,789,605
41,4.1,Normal,0.798,677,306,789,381
41,4.1,Displaced,0.705,696,73,792,147
41,4.1,Inverted,0.425,695,72,791,147
42,4.2,Normal,0.778,680,413,797,488
42,4.2,Normal,0.738,494,184,607,260
42,4.2,Normal,0.555,494,413,607,488
42,4.2,Fractured,0.425,682,185,795,261
42,4.2,Displaced,0.301,682,185,795,260
43,4.3,Normal,0.908,684,117,796,192
43,4.3,Normal,0.883,679,588,795,663
43,4.3,Fractured,0.786,683,355,796,432
43,4.3,Normal,0.731,492,354,607,429
43,4.3,Normal,0.681,493,587,607,663
43,4.3,Normal,0.497,495,118,607,192
44,4.4,Normal,0.913,481,583,598,660
44,4.4,Normal,0.906,676,351,790,427
44,4.4,Normal,0.899,675,583,789,659
44,4.4,Fractured,0.842,483,354,603,431
44,4.4,Normal,0.825,675,119,788,194
44,4.4,Normal,0.824,484,120,598,194
45,4.5,Normal,0.873,688,500,796,574
45,4.5,Normal,0.839,681,265,796,338
45,4.5,Normal,0.809,496,30,609,105
45,4.5,Inverted,0.743,491,264,607,342
45,4.5,Normal,0.712,494,501,606,573
45,4.5,Normal,0.685,683,30,796,106
46,4.6,Normal,0.893,675,261,785,335
46,4.6,Normal,0.828,481,34,598,109
46,4.6,Normal,0.783,674,496,785,571
46,4.6,Normal,0.703,675,32,784,107
46,4.6,Normal,0.327,482,263,596,336
47,4.7,Normal,0.892,688,500,798,574
47,4.7,Normal,0.834,685,270,798,346
47,4.7,Normal,0.821,685,39,796,115
47,4.7,Normal,0.759,496,499,609,574
47,4.7,Normal,0.757,496,38,611,114
48,4.8,Normal,0.902,482,329,599,405
48,4.8,Normal,0.857,677,329,788,405
48,4.8,Normal,0.82,676,564,790,640
48,4.8,Normal,0.765,676,95,789,171
48,4.8,Normal,0.437,485,100,599,171
49,4.9,Normal,0.878,685,420,796,497
49,4.9,Normal,0.854,495,420,610,495
49,4.9,Normal,0.851,496,185,608,262
49,4.9,Missing,0.491,691,188,799,266
50,5.0,Normal,0.81,679,526,788,600
50,5.0,Normal,0.796,482,292,598,365
50,5.0,Normal,0.786,482,526,599,601
50,5.0,Normal,0.69,675,61,789,137
50,5.0,Normal,0.391,676,291,790,364
50,5.0,Missing,0.28,482,69,541,138
51,5.1,Normal,0.902,676,267,789,341
51,5.1,Normal,0.873,479,501,599,577
51,5.1,Normal,0.832,483,267,600,341
51,5.1,Normal,0.823,482,35,599,108
51,5.1,Normal,0.68,677,501,790,576
51,5.1,Missing,0.385,677,37,766,103
52,5.2,Normal,0.882,687,108,797,185
52,5.2,Normal,0.863,688,565,796,639
52,5.2,Normal,0.837,687,334,798,411
52,5.2,Normal,0.836,495,564,606,640
52,5.2,Normal,0.832,496,333,608,407
52,5.2,Fractured,0.321,491,109,592,181
53,5.3,Normal,0.834,676,218,790,293
53,5.3,Normal,0.811,677,453,791,526
53,5.3,Normal,0.734,482,453,600,526
53,5.3,Missing,0.43,489,220,593,291
54,5.4,Normal,0.854,682,544,795,619
54,5.4,Normal,0.826,680,327,796,399
54,5.4,Normal,0.768,493,543,609,617
54,5.4,Normal,0.705,684,110,797,185
54,5.4,Normal,0.568,496,110,607,186
54,5.4,Missing,0.512,489,329,572,397
55,5.5,Normal,0.851,484,514,600,589
55,5.5,Normal,0.82,485,50,600,123
55,5.5,Normal,0.761,680,514,792,590
55,5.5,Normal,0.747,677,47,793,122
55,5.5,Normal,0.669,483,281,603,354
55,5.5,Fractured,0.459,685,282,791,353
55,5.5,Missing,0.339,684,282,787,353
56,5.6,Normal,0.818,496,226,608,302
56,5.6,Normal,0.811,683,227,795,303
56,5.6,Normal,0.715,494,460,606,532
56,5.6,Missing,0.463,682,467,769,532
57,5.7,Normal,0.885,683,578,797,652
57,5.7,Normal,0.842,683,119,794,194
57,5.7,Normal,0.804,496,576,609,652
57,5.7,Normal,0.725,497,345,609,420
57,5.7,Normal,0.715,493,118,605,193
57,5.7,Missing,0.433,682,356,764,415
58,5.8,Missing,0.867,481,410,581,480
58,5.8,Normal,0.839,678,643,792,717
58,5.8,Normal,0.825,484,173,601,248
58,5.8,Normal,0.813,677,406,790,482
58,5.8,Normal,0.738,679,174,790,247
58,5.8,Missing,0.671,481,411,545,479
58,5.8,Normal,0.608,484,643,600,717
59,5.9,Normal,0.827,682,348,795,422
59,5.9,Missing,0.816,692,113,795,187
59,5.9,Normal,0.808,681,578,795,652
59,5.9,Normal,0.808,495,111,609,187
59,5.9,Normal,0.766,494,576,605,653
59,5.9,Normal,0.732,494,348,605,421
60,6.0,Normal,0.896,679,132,792,207
60,6.0,Normal,0.826,482,373,603,448
60,6.0,Normal,0.819,677,597,794,672
60,6.0,Normal,0.793,678,371,791,445
60,6.0,Normal,0.774,484,134,601,208
60,6.0,Missing,0.364,491,603,594,677
61,6.1,Normal,0.84,484,62,601,136
61,6.1,Normal,0.838,484,302,602,377
61,6.1,Normal,0.819,677,61,790,136
61,6.1,Normal,0.819,678,527,792,604
61,6.1,Missing,0.735,682,304,772,373
61,6.1,Normal,0.726,484,530,601,604
62,6.2,Normal,0.818,497,39,609,113
62,6.2,Normal,0.799,686,503,796,576
62,6.2,Normal,0.796,496,504,608,578
62,6.2,Normal,0.781,685,39,795,113
62,6.2,Missing,0.768,688,270,795,340
62,6.2,Normal,0.612,497,267,609,340
63,6.3,Normal,0.869,678,216,791,289
63,6.3,Normal,0.849,482,215,603,290
63,6.3,Normal,0.836,483,453,599,526
63,6.3,Missing,0.268,681,453,784,529
64,6.4,Normal,0.863,682,249,795,326
64,6.4,Normal,0.859,683,480,795,556
64,6.4,Missing,0.859,491,249,606,326
64,6.4,Normal,0.822,682,13,796,87
64,6.4,Normal,0.688,496,479,606,555
64,6.4,Normal,0.682,496,14,608,87
64,6.4,Missing,0.325,490,251,553,324
65,6.5,Normal,0.909,679,348,794,424
65,6.5,Normal,0.901,677,117,793,193
65,6.5,Normal,0.867,484,582,603,657
65,6.5,Normal,0.851,484,350,603,424
65,6.5,Normal,0.832,678,580,795,655
65,6.5,Missing,0.75,495,119,600,197
66,6.6,Normal,0.814,683,236,794,308
66,6.6,Missing,0.579,491,462,574,536
